listing_id,Name,Description,Neighborhood,ZipCode,Latitude,Longitude,Room type,accommodates,bathrooms,bedrooms,review_scores_rating,reviews_per_month,price,sentiment_compound_polarity
2515,Stay at Chez Chic budget room #1,"Step into our artistic spacious apartment and enjoy your artistic Guest room with original artwork from NY artists. Shared with my little family however we often out and you won't see us much. across the street from Central Park - the busy city minutes away but sleeping in quiet at night! -PLEASE BOOK DIRECTLY. NO NEED TO SEND A REQUEST FOR DATES CALENDAR IS UP TO DATE ALL AIRBNB RESERVATIONS WILL BE HONORED Nice, comfortable, and clean private guest room with shared bathroom (2 people max) - full size bed. In very nice apartment on central Park North 4th floor walk-up. same place as Chez chic #2, max capacity of the rooms 2 people). You will share the apt with me and my little family. Daily cleaning in common areas. Located one block from Subway 2/3,B/C on 110th street, Bus M1,2,3,4 at the corner, central park across the street.  Your room: full size bed (sleeps two), desk, Digital Tv/DVD, wifi internet, A/C, closet and desk. Sheets/Towels provided. Iron/air dryer provided. Separate F",Harlem,10026,40.7992048,-73.95367575,Private room,3,1,1,93,1.42,59,0.80285614
2539,Clean & quiet apt home by the park,"Renovated apt home in elevator building. Spacious, renovated, and clean apt home, one block to F train, 25 minutes to lower Manhatten Close to Prospect Park and Historic Ditmas Park Very close to F and G trains and Express bus into NY.  The B and Q are closeby also. If this room is unavailable on your desired dates, check out our other rooms, such as:  https://www.airbnb.com/rooms/10267242",Kensington,11218,40.64748608,-73.97236954,Private room,4,1,1,98,0.23,149,0.6857625
2595,Skylit Midtown Castle,"Find your romantic getaway to this beautiful, spacious skylit studio in the heart of Midtown, Manhattan.  STUNNING SKYLIT STUDIO / 1 BED + SINGLE / FULL BATH / FULL KITCHEN / FIREPLACE / CENTRALLY LOCATED / WiFi + APPLE TV / SHEETS + TOWELS - Spacious (500+ftÃ‚Â_), immaculate and nicely furnished & designed studio. - Tuck yourself into the ultra comfortable bed under the skylight. Fall in love with a myriad of bright lights in the city night sky.  - Single-sized bed/convertible floor mattress with luxury bedding (available upon request). - Gorgeous pyramid skylight with amazing diffused natural light, stunning architectural details, soaring high vaulted ceilings, exposed brick, wood burning fireplace, floor seating area with natural zafu cushions, modern style mixed with eclectic art & antique treasures, large full bath, newly renovated kitchen, air conditioning/heat, high speed WiFi Internet, and Apple TV. - Centrally located in the heart of Midtown Manhattan just a few blocks from all s",Midtown,10018,40.75362073,-73.98377381,Entire home/apt,2,1,0,94,0.33,225,0.837541667
3330,++ Brooklyn Penthouse Guestroom ++,"This is a spacious, clean, furnished master bedroom with PRIVATE bathroom and rooftop deck in one of Brooklyn's most vibrant neighborhoods, our beloved, East Williamsburg! Stay as the locals do and share our 3 bedroom, 2-story apartment!  See u soon! Room Features: - clean, hardwood floors - 2 large windows with sliding glass doors providing access to private rooftop deck - clean private bathroom with tub - comfy, cozy, queen sized bed with fresh sheets - full length mirror - dresser - hangers for clothes  - fresh bath towels included with stay Apartment Features: - open living room with lots of natural light - basic cable/Netflix/ HBO Go on TV - high ceilings - dishwasher/microwave/gas stove - pots and pans for cooking / dishes & utensils  - 2 quiet, working roommates (lovely ladies in their early 30s)  Building: - 4 story - elevator - laundry facility in basement - 1 block from Montrose Ave stop on L train - friendly neighbors Ideal For: - someone on vacation looking for a great deal",Williamsburg,11206,40.70855778,-73.94236228,Private room,2,1,1,97,0.32,70,0.875102941
3831,Cozy Entire Floor of Brownstone,"Urban retreat: enjoy 500 s.f. floor in 1899 brownstone, with new flooring throughout (completed Aug. 2015 through Sept. 2015), roomy bdrm, & upgraded kitchen & bathroom (completed Oct. 2015).  It's sunny and loaded with everything you need! Greetings!      We own a double-duplex brownstone in Clinton Hill on Gates near Classon Avenue -  (7 blocks to C train, 5 blocks to G train, minutes to all), in which we host on the entire top floor of the upper duplex.  This is more of an efficiency set-up: it is the top floor on a two-family, double duplex brownstone, the top floor for our guests consists of a sizable bedroom, full bath and eat-in kitchen for your exclusive use.  Our family occupies the floors below.  You go through a common hallway and staircase, to get to the top floor (2 easy flights up from the main entrance), but not through any rooms, so it is a fairly private set-up. - Clinton Hill, Gates Avenue near Classon Ave. (1 mi. or less to Williamsburg, Park Slope, Prospect Heights,",Clinton Hill,11238,40.68513771,-73.9597575,Entire home/apt,3,1,1,91,4.36,89,0.838367136
5022,Entire Apt: Spacious Studio/Loft by central park,"Loft apartment with high ceiling and wood flooring located 10 minutes away from Central Park in Harlem -Ã‚Â 1 block away from 6 train and 3 blocks from 2 & 3 line. This is in a recently renovated building which includes elevator, trash shoot. marble entrance and laundromat in the basement.  The apartment is a spacious loft studio. The seating area and sleeping area is divided by a bookcase. There is a long hallway entrance where the bathroom and closet for your clothes is situated. The apartment is in mint condition, the walls have been freshly painted a few months ago. Supermarket, and 24 hour convenience store less than 1 block away.  1 block away from Hot Yoga Studio and NY Sports club facility.  Perfect for anyone wanting to stay in Manhattan but get more space.  10 minutes away from midtown and 15 minutes away from downtown. The neighborhood is lively and diverse. You will need to travel at least 10 blocks to find cafe's, restaurants etc.. There are a few restaurants on 100 street on",East Harlem,10029,40.79851419,-73.94399071,Entire home/apt,1,1,0,94,0.09,80,0.852385714
5099,Large Cozy 1 BR Apartment In Midtown East,"My large 1 bedroom apartment is true New York City living.  The apt is in midtown on the east side and centrally located, just a 10-minute walk from Grand Central Station, Empire State Building, Times Square. The kitchen and living room are large and bright with Apple TV. I have a new Queen Bed that sleeps 2 people, and a Queen Aero Bed that can sleep 2 people in the living room. The apartment is located on the 5th floor of a walk up - no elevator (lift). I have a large 1 bedroom apartment centrally located in Midtown East.  A 10 minute walk from Grand Central Station, Times Square, Empire State Building and all major subway and bus lines. The apartment is located on the 5th floor of a pre-war walk up building-no elevator/lift.  The apartment is bright with has high ceilings and flow through rooms. A spacious, cozy living room with Netflix and Apple TV.  A large bright kitchen to sit and enjoy coffee or tea.  The bedroom is spacious with a comfortable queen size bed that sleeps 2.   I ",Murray Hill,10016,40.74767177,-73.97499734,Entire home/apt,2,1,1,87,0.57,185,0.811407576
5121,BlissArtsSpace!,"HELLO EVERYONE AND THANKS FOR VISITING BLISS ART SPACE! Thank you all for your support. I've traveled a lot in the last year few years, to the  U.K. Germany, Italy and France! Loved Paris and Calabria! Highly recommend all these places.  Things are a little busy this past month, so, please forgive me if I don't reply quickly. I am also in a moment where I don't wish to be in front of the computer 24/7. But I will answer as soon as I can : )  One room available for rent in a 2 bedroom apt in Bklyn. We share a common space with kitchen. I am an artist(painter, filmmaker) and curator who is working in the film industry while I'm building my art event production businesses. Price above is nightly for one person. Monthly rates available.  Price is $875 per month for one person. Utilities not included, they are about 50 bucks, payable when the bill arrives mid month.   Couples rates are slightly more for monthly and 90$ per night short term. If you are a couple please Iet me know and IÃ¢Â€Â™ll gi",Bedford-Stuyvesant,11216,40.68688196,-73.95595709,Private room,2,0,1,90,0.45,60,0.872581633
5172,Quiet Slice of Manhattan,"Quiet, very small one bedroom apartment in Murray Hill. Comfortably furnished, quirky details. A nice respite from the bustle of Manhattan. This Midtown East apt is close to the Empire State Building, Chrysler Building and Grand Central. Since some reviews in 2017, I have upgraded the Wi-Fi to 5G! Perfect for business travelers. The bedroom is roomy at 10'x12' and has a queen-sized, memory foam bed. Awesome hotel-grade pillows and high thread count sheets.  The living/dining space is very small. Full kitchen with new appliances. Fully stocked with pots, dishes and flatware. Furnished with a cozy loveseat and dining set. TWO PEOPLE MAX. The apt is not appropriate for babies and toddlers. If you are traveling with a child, the child counts as one of the two maximum. Wifi password is in AirBnB instructions and also in the apt. 5G connection! There is a QUIK PARK lot across the street; $36 for a 24-hour period. Street parking is available during NON rush hours; this street is the outbound ",Murray Hill,10016,40.74495768,-73.974201,Entire home/apt,2,1,1,94,0.71,129,0.822693827
5178,Large Furnished Room Near B'way ,"Please donÃ¢Â€Â™t expect the luxury here just a basic room in the center of Manhattan. You will use one large, furnished, private room of a two-bedroom apartment and share a bathroom with the host.   The apartment is located a few blocks away from Central Park between 8th and 9th Avenue. The closest subway station is Columbus Circle 59th Street.  Great restaurants, Broadway and all transportation are easily accessible.  The cost of the room is $73 per night.  Weekly rate is available. There is a $12.00 fee per guest.  The apartment also features hardwood floors and a second-floor walk-up.  There is a full-sized bed,TV, microwave, and a small refrigerator as well as other appliances.   Wired internet, WIFI, TV, electric heat, bed sheets and towels are included.  A kitchen is available in the living room. You can come in any time except midnight.   Basic check in/out time is 12pm. I am flexible on the schedule so please ask.  Please note there is a cat in the living room.  The living room is ",Hell's Kitchen,10019,40.7648871,-73.98492985,Private room,2,1,1,84,3.46,79,0.714829114
