,listing_id,id,date,reviewer_id,reviewer_name,comments
0,2515,198,10/13/08,2603,Jenny,Stephanie was a wonderful host! Her apartment was beautiful and extremely clean. We had a very nice (and affordable!) stay in the city with private room and own bathroom.
1,2515,859,3/8/09,8455,Roland,"Such a wonderful place and very close to the metro station on the line 1 2 3. She was awesome with us, it was a pleasure to stay in her appt. she's french, so last word ...Merci encore stephanie pour ton hospitalitÌ©. On a passÌ© un super sÌ©jour avec toi. TrÌ¬s disponible pour nous avec pleins de conseils, je vous recommande particulierement cette adresse qui plus est pour un prix raisonnable. Le metro est juste a 1 bloc de l'appartement et la ligne 1-2-3 est la plus centrale et la plus pratique de NYC. son quartier est vraiment tres sympa en plus !!! Allez y les yeux fermÌ©s."
2,2515,1083,3/25/09,9759,Cem,"I just got back from a trip to NYC during which I stayed at Stephanie's appartment. The bedroom and private bathroom that comes with it were both kept very clean and are spacious so that I could unpack my stuff and put my clothes away in the closet. I didn't have to live out of my rucksack for ten days which made me already feel comfortable.The appartment is situated right at the north end of Central Park in Harlem and very close to different subway stations. I could either start my day with a morning stroll through the park and into the Upper West or Upper East Side, or catch the subway to get to Midtown, South Manhattan or Brooklyn in no time. So from a geographical vantage point the appartment is perfectly situated to discover the city.But apart from all these facts it was above all Stephanie with her warm and welcoming nature that really made me feel comfortable during these days. It is very nice to come ""home"" in the evening, tired after a long day's strolling around, and end the day with a little chit-chat about one's experiences before falling into bed and, with thumb-in-mouth, sleep blissfully through till the next morning.NYC, I will be back, and I know where I'll be staying! Thank you, Stephanie!!!"
3,2515,1107,3/27/09,9193,Holly,Stephanie's offered all the most important things: a warm welcome into a comfortable home; a comfortable bed in a quiet room; fresh & clean towels & blankets; and easy access to Manhattan.  Finding myself travelling to NYC in the future I feel I already have a open invitation to make home away from home through Stephanie's generousity.
4,2515,2175,5/9/09,7048,Alessandra,"Stephanie was really nice, ftiendly and helpful. The room was perfect and it was very easy to go around the town from there. :-)"
5,2515,2889,5/20/09,12521,Michael,"I was pleasantly surprised with my whole stay at Stepahnie's place. She is the most warm hearted and interesting person and her family is the same.The whole place is clean aand as described in the ad. I'd go there again any time and thank Stph again for the wonderful stay.Thanx"
6,2515,3213,5/27/09,5889,Becca,Stephanie's apt was great. Very convenient to anywhere in NYC you would want to go. Subway stop a block away. I would highly recommend staying there if you get a chance. 
7,2515,3313,5/30/09,15342,Sarah,"my husband and i had such a great time staying with stephanie! we stayed at chez chic for 3 nights and felt right at home the minute we walked in.  the room is a perfect size, plenty of room for the two of us and a good sized closet for our suitcases, everything was immaculate, clean towels and linens, and the location is great.   not only is stephanie a great hostess, she is also a great resource for things to do in the city which made our stay even better.  i would recommend stephanie to anyone traveling to new york and we cant wait to get back to nyc to see her bed and breakfast!"
8,2515,7144,8/10/09,26899,Maria Luisa,"When I first arrived at Stephanie's, she was very welcoming! I had no problem finding my way from the subway at Central Park North and I never felt unsafe walking from the subway to the apartment (a 5 min walk)When I got to the apartment complex at 7th ave (Chez Chic)there was no elevator but there was a really friendly neighbor that helped me carry my luggage up the stairs. I met Stephanie's very nice husband and her two beautiful children and they were never a bother! And she even let me use her laptop so I can check my email and keep in touch with my family.I was free to come and go anytime I wanted to and having my own bathroom was a bonus! The bed was REALLY comfy, the air conditioning was a relief and the closet was spacious. Not too far up the street there was a 24 hour market that was awesome with a lot of great stuff to choose from so I was always able to make my own breakfast, lunch and dinner!! Going to and from uptown to midtown Manhattan was very easy and convenient with the subways running 24 hours (only a 25 min ride to Time Square) and there was always people around so you never felt alone!!Over all I really enjoyed my stay at Chez Chic and New York was a great city! I recommend any place Stephanie has available!! Enjoy your time in New York!"
9,2515,7350,8/13/09,26718,Greg,awesome couldn't have been better.
10,2515,8463,8/29/09,6407,David,"It was a great week at ""chez chic"". Stephanie and her family were really friendly and she gave us some advices to visit the town. The room was comfortable and the flat was really well situated (5 minutes from subway). We would recommend this place to anyone!"
11,2515,11177,9/24/09,21062,Linda,"My friend and I stayed at the Chez Chic for ten days. Stephanie was a great host and has such a cute family! She was very easygoing and gave us nice advices going out in harlem so that we loved this place! Her apartment was nice, so that we really enjoyed our sojourn time and would come back any time. tahnks!"
12,2515,11651,9/27/09,39004,David,"Wonderful hostess, kind, willing to help and offer advice.  We stayed at Chez Chic and enjoyed the premises and felt safe.  Great value as well. I would highly recommend her to anyone.  The site is close to the subway and you can move about the city very easily.Dave and Denise"
13,2515,14145,10/18/09,45184,Lizzie,Stephanie was the perfect host... welcoming and generous with her time.  She clued me in to some terrific local cafes and restaurants offering delicious food at reasonable prices and venues for jazz as well.  She even helped my son find the best and safest route to an event he had planned on attending with his college friends.  Overall very professional and accommodating.    
14,2515,14349,10/20/09,35090,Aris,"I was pleasantly surprised to see a clean room, elegantly decorated in a quiet flat within walking distance from Central Park. Stephanie is very helpful and her house deserves the title Chez Chic. "
15,2515,16302,11/5/09,44089,Robert,"What a great location and welcome from Stephanie and her family! We arrived late on Friday night and Stephanie was there to welcome us. She provided excellent local information and also directions to downtown, which proved vital on the day of the marathon. The room was excellent and the bed was very comfortable, was also great to come home to a warm house very night! Living with Stephanie and her family added to our New York experience and we would recommend it to anyone.Thanks Stpehanie!"
